+----------------------+------------+----------------------+
| Token                | Type       | Line                 |
| PUNCTUATION          | 120        | ;                    |
| KEYWORD              | 122        | return               |
| LITERAL_NUMBER       | 122        | 0                    |
| PUNCTUATION          | 122        | ;                    |
| KEYWORD              | 125        | int                  |
| IDENTIFIER           | 125        | value                |
| OPERATOR             | 125        | =                    |
| LITERAL_NUMBER       | 125        | 10                   |
| PUNCTUATION          | 125        | ;                    |
| KEYWORD              | 126        | int                  |
| PUNCTUATION          | 126        | *                    |
| IDENTIFIER           | 126        | ptr                  |
| OPERATOR             | 126        | =                    |
| PUNCTUATION          | 126        | &                    |
| IDENTIFIER           | 126        | value                |
| PUNCTUATION          | 126        | ;                    |
| KEYWORD              | 127        | cout                 |
| OPERATOR             | 127        | <<                   |
| LITERAL_STRING       | 127        | "Value: "            |
| OPERATOR             | 127        | <<                   |
| IDENTIFIER           | 127        | value                |
| OPERATOR             | 127        | <<                   |
| KEYWORD              | 127        | endl                 |
| PUNCTUATION          | 127        | ;                    |
| PUNCTUATION          | 130        | *                    |
| IDENTIFIER           | 130        | ptr                  |
| OPERATOR             | 130        | =                    |
| LITERAL_NUMBER       | 130        | 20                   |
| PUNCTUATION          | 130        | ;                    |
| KEYWORD              | 131        | cout                 |
| OPERATOR             | 131        | <<                   |
| LITERAL_STRING       | 131        | "Modified value via pointer: " |
| OPERATOR             | 131        | <<                   |
| IDENTIFIER           | 131        | value                |
| OPERATOR             | 131        | <<                   |
| KEYWORD              | 131        | endl                 |
| PUNCTUATION          | 131        | ;                    |
| PUNCTUATION          | 133        | }                    |
| KEYWORD              | 137        | void                 |
| IDENTIFIER           | 137        | greetUser            |
| PUNCTUATION          | 137        | (                    |
| PUNCTUATION          | 137        | )                    |
| PUNCTUATION          | 137        | {                    |
| KEYWORD              | 138        | cout                 |
| OPERATOR             | 138        | <<                   |
| LITERAL_STRING       | 138        | "Welcome to the basic C++ program!" |
| OPERATOR             | 138        | <<                   |
| KEYWORD              | 138        | endl                 |
| PUNCTUATION          | 138        | ;                    |
| PUNCTUATION          | 139        | }                    |
| KEYWORD              | 141        | int                  |
| IDENTIFIER           | 141        | add                  |
| PUNCTUATION          | 141        | (                    |
| KEYWORD              | 141        | int                  |
| IDENTIFIER           | 141        | a                    |
| PUNCTUATION          | 141        | ,                    |
| KEYWORD              | 141        | int                  |
| IDENTIFIER           | 141        | b                    |
| PUNCTUATION          | 141        | )                    |
| PUNCTUATION          | 141        | {                    |
| KEYWORD              | 142        | return               |
